rank,name,industry,revenue (usd million),revenue growth,employees,headquarters
64,Pfizer,Pharmaceutical industry,"51,750",Decrease 3.5%,"88,300","New York City, New York"
65,HCA Healthcare,Healthcare,"51,336",Increase 10.0%,"245,000","Nashville, Tennessee"
66,AIG,Insurance,"49,746",Increase 5.0%,"46,000","New York City, New York"
67,American Express,Financial,"47,020",Increase 8.6%,"64,500","New York City, New York"
68,Delta Air Lines,Airlines,"47,007",Increase 5.8%,"91,224","Atlanta, Georgia"
69,Merck & Co.,Pharmaceutical industry,"46,840",Increase 10.7%,"71,000","Kenilworth, New Jersey"
70,American Airlines,Airlines,"45,768",Increase 2.8%,"133,700","Fort Worth, Texas"
71,Charter Communications,Telecommunications,"45,764",Increase 4.9%,"95,100","Stamford, Connecticut"
72,Allstate,Insurance,"44,675",Increase 12.2%,"46,035","Northfield Township, Cook County, Illinois"
73,New York Life Insurance Company,Insurance,"44,117",Increase 1.6%,"11,519","New York City, New York"
74,Nationwide Mutual Insurance Company,Financial,"43,982",Increase 1.6%,"28,114","Columbus, Ohio"
75,Best Buy,Retail,"43,638",Increase 1.8%,"125,000","Richfield, Minnesota"
76,United Airlines Holdings,Airlines,"43,259",Increase 4.7%,"96,000","Chicago, Illinois"
77,Liberty Mutual Group,Insurance,"43,228",Increase 1.3%,"45,000","Boston, Massachusetts"
78,Dow Chemical Company,Chemical industry,"42,951",...,"36,500","Midland, Michigan"
79,Tyson Foods,Food Processing,"42,405",Increase 5.9%,"141,000","Springdale, Arkansas"
80,TJX,Retail,"41,717",Increase 7.0%,"286,000","Framingham, Massachusetts"
81,TIAA,Insurance,"40,454",Decrease 1.5%,"16,533","New York City, New York"
82,Oracle Corporation,Software,"39,506",Decrease 0.8%,"136,000","Austin, Texas"
83,General Dynamics,Airspace and defense,"39,350",Increase 8.7%,"102,900","Reston, Virginia"
84,John Deere,Agriculture manufacturing,"39,258",Increase 5.1%,"73,489","Moline, Illinois"
85,"Nike, Inc.",Apparel,"39,117",Increase 7.5%,"76,700","Beaverton, Oregon"
86,Progressive Corporation,Insurance,"39,022",Increase 22.0%,"41,571","Mayfield Village, Ohio"
87,Publix,Retail,"38,463",Increase 5.7%,"207,000","Lakeland, Florida"
88,Coca-Cola Company,Beverages,"37,266",Increase 17.0%,"86,200","Atlanta, Georgia"
89,Massachusetts Mutual Life Insurance Company,Insurance,"37,253",Decrease 5.1%,"9,896","Springfield, Massachusetts"
90,Tech Data,Information technology,"36,998",Decrease 0.6%,"15,000","Clearwater, Florida"
91,World Fuel Services,Energy,"36,819",Decrease 7.4%,"5,500","Miami, Florida"
92,Honeywell,Manufacturing,"36,709",Decrease 12.2%,"113,000","Charlotte, North Carolina"
93,ConocoPhillips,Petroleum industry,"36,670",Decrease 5.3%,"10,400","Houston, Texas"
94,USAA,Financials,"35,617",Increase 13.5%,"35,076","San Antonio, Texas"
95,Exelon,Electrical Power,"34,438",Decrease 4.3%,"32,713","Chicago, Illinois"
96,Northrop Grumman,Aerospace and Defense,"33,841",Increase 12.4%,"90,000","West Falls Church, Virginia"
97,Capital One,Banking,"33,766",Increase 4.3%,"51,900","McLean, Virginia"
98,Plains All American Pipeline,Petroleum industry,"33,669",Decrease 1.1%,"5,000","Houston, Texas"
99,AbbVie,Pharmaceutical industry,"33,266",Increase 1.6%,"30,000","Lake Bluff, Illinois"
100,StoneX Group Inc.,Financials,"32,897",Increase 19.1%,"2,012","New York City, New York"
101,Enterprise Products,Petroleum industry,"32,789",Decrease 10.3%,"7,300","Houston, Texas"
102,Northwestern Mutual,Insurance,"32,294",Increase 10.9%,"5,964","Milwaukee, Wisconsin"
103,3M,Manufacturing,"32,136",Decrease 1.9%,"96,163","Maplewood, Minnesota"
104,Abbott Laboratories,Medical devices,"31,904",Increase 4.3%,"107,000","Chicago, Illinois"
105,CHS Inc.,Agriculture cooperative,"31,901",Decrease 2.4%,"10,703","Inver Grove Heights, Minnesota"
106,The Travelers Companies,Insurance,"31,581",Increase 4.3%,"30,800","Hartford, Connecticut"
107,"Tesla, Inc.",Automotive,"31,536",Increase 14.5%,"48,016","Palo Alto, California"
108,Philip Morris International,Tobacco,"29,805",Increase 0.6%,"73,500","New York City, New York"
109,Raytheon Company,Airspace and defense,"29,176",Increase 7.8%,"70,000","Waltham, Massachusetts"
110,Hewlett Packard Enterprise,Technology,"29,135",Decrease 5.6%,"61,600","Houston, Texas"
111,Arrow Electronics,Electronics,"28,917",Decrease 2.6%,"19,300","Centennial, Colorado"
112,ViacomCBS,Media,"27,812",Increase 91.6%,"26,280","New York City, New York"
113,Dollar General,Retail,"27,754",Increase 8.3%,"143,000","Goodlettsville, Tennessee"
114,U.S. Bancorp,Banking,"27,325",Increase 6.0%,"69,651","Minneapolis, Minnesota"
115,Starbucks,Food Services,"26,509",Increase 7.2%,"346,000","Seattle, Washington"
116,Bristol-Myers Squibb,Pharmaceutical industry,"26,145",Increase 15.9%,"30,000","New York City, New York"
117,US Foods,Food distribution,"25,939",Increase 7.3%,"28,000","Rosemont, Illinois"
118,Mondelez International,Food processing,"25,868",Decrease 0.3%,"80,000","Chicago, Illinois"
119,Paccar,Automotive,"25,600",Increase 9.0%,"27,000","Bellevue, Washington"
120,Thermo Fisher Scientific,Laboratory instruments,"25,542",Increase 4.9%,"75,000","Waltham, Massachusetts"
121,"Macy's, Inc.",Retail,"25,331",Decrease 1.6%,"123,000","Cincinnati, Ohio"
122,Jabil,Electronic Manufacturing Service,"25,282",Increase 14.4%,"200,000","St. Petersburg, Florida"
123,Kraft Heinz,Food processing,"24,977",Decrease 4.9%,"37,000","Chicago, Illinois"
124,Duke Energy,Energy,"24,658",Increase 2.2%,"28,793","Charlotte, North Carolina"
125,PBF Energy,Petroleum industry,"24,508",Decrease 9.9%,"3,442","Parsippany, New Jersey"
126,Qualcomm,Semiconductor,"24,273",Increase 7.4%,"37,000","San Diego, California"
127,NGL Energy Partners,Pipelines,"24,088",Increase 39.4%,"1,300","Tulsa, Oklahoma"
128,CBRE Group,Real estate,"23,894",Increase 12.0%,"100,000","Dallas, Texas"
129,Baker Hughes,Petroleum industry,"23,838",Increase 4.2%,"68,000","Houston, Texas"
130,Synnex,Information distribution,"23,757",Increase 18.5%,"240,900","Fremont, California"
131,Dollar Tree,Retail,"23,611",Increase 3.5%,"125,000","Chesapeake, Virginia"
132,Cummins,Automotive,"23,571",Decrease 0.8%,"61,615","Columbus, Indiana"
133,United Natural Foods,Retail,"23,481",Increase 129.6%,"19,000","Providence, Rhode Island"
134,Micron Technology,Semiconductors,"23,406",Decrease 23.0%,"37,000","Boise, Idaho"
135,Amgen,Biotechnology,"23,362",Decrease 1.6%,"23,400","Thousand Oaks, California"
136,Penske Automotive Group,Transportation,"23,179",Increase 1.7%,"26,980","Bloomfield Hills, Michigan"
137,Visa Inc.,Financial services,"22,977",Increase 11.5%,"19,500","Foster City, California"
138,Broadcom Inc.,Semiconductor,"22,597",Increase 8.4%,"19,000","San Jose, California"
139,Nucor,Metals,"22,589",Decrease 9.9%,"26,800","Charlotte, North Carolina"
140,Gilead Sciences,Pharmaceutical industry,"22,449",Increase 1.5%,"11,800","Foster City, California"
141,Southwest Airlines,Airlines,"22,428",Increase 2.1%,"60,767","Dallas, Texas"
142,Halliburton,Petroleum industry,"22,408",Decrease 6.6%,"55,000","Houston, Texas"
143,CenturyLink,Telecommunication,"22,401",Decrease 4.4%,"42,500","Monroe, Louisiana"
144,International Paper,Paper,"22,376",Decrease 4.0%,"51,000","Memphis, Tennessee"
145,Eli Lilly and Company,Pharmaceutical industry,"22,320",Decrease 9.1%,"33,625","Indianapolis, Indiana"
146,Aflac,Insurance,"22,307",Increase 2.5%,"11,729","Columbus, Georgia"
147,Lennar Corporation,Construction,"22,260",Increase 8.2%,"10,106","Miami, Florida"
148,Occidental Petroleum,Petroleum industry,"21,971",Increase 16.0%,"14,400","Houston, Texas"
149,Union Pacific Corporation,Transportation,"21,708",Decrease 4.9%,"37,483","Omaha, Nebraska"
150,Rite Aid,Retail,"21,674",Decrease 28.3%,"42,645","Camp Hill, Pennsylvania"
151,PNC Financial Services,Financial services,"21,624",Increase 8.2%,"50,968","Pittsburgh, Pennsylvania"
152,DuPont,Chemical industry,"21,512",Decrease 75.0%,"35,000","Wilmington, Delaware"
153,Southern Company,Electric Utility,"21,419",Decrease 8.8%,"27,943","Atlanta, Georgia"
154,AutoNation,Auto Retailer,"21,336",Decrease 0.4%,"25,000","Fort Lauderdale, Florida"
155,DXC Technology,Information Technology,"21,184",Decrease 13.7%,"130,000","Tysons, Virginia"
156,McDonald's,Food Chain,"21,077",Increase 0.2%,"205,000","Chicago, Illinois"
157,Marriott International,Hospitality,"20,972",Increase 1.0%,"174,000","Bethesda, Maryland"
158,ManpowerGroup,Human Resources,"20,864",Decrease 5.1%,"28,000","Milwaukee, Wisconsin"
159,Bank of New York Mellon,Financial services,"20,822",Increase 8.4%,"48,400","New York City, New York"
160,Hartford Financial Services,Financial services,"20,740",Increase 4.6%,"19,500","Hartford, Connecticut"
161,Danaher Corporation,Life Science,"20,521",Increase 3.2%,"60,000","Washington, D.C."
162,Whirlpool Corporation,Commercial appliance,"20,419",Decrease 2.9%,"77,000","Benton Charter Township, Michigan"
163,AECOM,Construction,"20,173",Increase 0.1%,"86,000","Los Angeles, California"
164,Netflix,Technology,"20,156",Increase 27.6%,"8,600","Los Gatos, California"
165,Kohl's,Retail,"19,974",Decrease 1.3%,"79,500","Menomonee Falls, Wisconsin"
166,Lear Corporation,Automotive,"19,810",Decrease 6.3%,"164,100","Southfield, Michigan"
167,Altria,Tobacco,"19,796",Increase 0.9%,"7,300","Richmond, Virginia"
168,Performance Food Group,Food Distribution,"19,744",Increase 12.1%,"18,000","Richmond, Virginia"
169,Avnet,Electronic distribution,"19,519",Increase 2.5%,"15,500","Phoenix, Arizona"
170,Synchrony Financial,Finance,"19,461",Increase 6.6%,"16,500","Stamford, Connecticut"
171,Genuine Parts Company,Auto parts,"19,392",Increase 3.5%,"55,000","Atlanta, Georgia"
172,NextEra Energy,Electric power,"19,204",Increase 14.8%,"14,800","Juno Beach, Florida"
173,CarMax,Retailer,"19,146",Increase 6.5%,"25,946","Richmond, Virginia"
174,Tenet Healthcare,Healthcare,"18,479",Increase 0.9%,"101,104","Dallas, Texas"
175,Kimberly-Clark,Consumer health,"18,450",Decrease 0.2%,"40,000","Irving, Texas"
176,Emerson Electric,Electric equipment,"18,372",Increase 5.5%,"88,000","Ferguson, Missouri"
177,WestRock,Consumer packaging,"18,289",Increase 12.3%,"51,100","Atlanta, Georgia"
178,CDW,Information technology,"18,032",Increase 11.0%,"9,900","Lincolnshire, Illinois"
179,JLL,Real estate,"17,983",Increase 10.2%,"93,400","Chicago, Illinois"
180,Sherwin-Williams,Paints and Coatings,"17,901",Increase 2.1%,"61,111","Cleveland, Ohio"
181,Fluor Corporation,Construction,"17,817",Decrease 7.0%,"53,349","Irving, Texas"
182,PayPal,Financial technology,"17,772",Increase 15.0%,"23,200","San Jose, California"
183,D. R. Horton,Construction,"17,593",Increase 9.5%,"8,916","Arlington, Texas"
184,HollyFrontier,Petroleum industry,"17,487",Decrease 1.3%,"4,074","Dallas, Texas"
185,Tenneco,Auto parts,"17,450",Increase 48.3%,"78,000","Lake Forest, Illinois"
186,EOG Resources,Petroleum industry,"17,380",Increase 0.6%,"2,900","Houston, Texas"
187,"Becton, Dickinson and Company",Medical devices,"17,290",Increase 8.2%,"70,093","Franklin Lakes, New Jersey"
188,Lincoln National Corporation,Insurance,"17,258",Increase 5.1%,"11,357","Radnor, Pennsylvania"
189,Pacific Gas and Electric Company,Electric Utility,"17,129",Increase 2.2%,"23,000","San Francisco, California"
190,Salesforce,Technology,"17,098",Increase 28.9%,"17,098","San Francisco, California"
191,Mastercard,Financial Technology,"16,883",Increase 12.9%,"18,600","New York City, New York"
192,General Mills,Food processing,"16,865",Increase 7.1%,"40,000","Minneapolis, Minnesota"
193,Molina Healthcare,Healthcare,"16,829",Decrease 10.9%,"10,000","Long Beach, California"
194,Cognizant,Information technology,"16,783",Increase 4.1%,"292,500","Teaneck, New Jersey"
195,Marsh & McLennan Companies,Insurance,"16,652",Increase 11.4%,"76,000","New York City, New York"
196,XPO Logistics,Logistics,"16,648",Decrease 3.7%,"100,000","Greenwich, Connecticut"
197,Dominion Energy,Electric utility,"16,572",Increase 24.0%,"19,100","Richmond, Virginia"
198,Western Digital,Computer hardware,"16,569",Decrease 19.8%,"61,800","San Diego, California"
199,Gap Inc.,Retail,"16,383",Decrease 1.2%,"129,000","San Francisco, California"
200,Aramark,Food service,"16,227",Increase 2.8%,"233,400","Philadelphia, Pennsylvania"
201,Principal Financial Group,Financials,"16,222",Increase 13.9%,"17,601","Des Moines, Iowa,"
202,Ross Stores,Retail,"16,039",Increase 7.0%,"92,500","Dublin, California"
203,Colgate-Palmolive,Consumer goods,"15,693",Increase 1.0%,"34,300","New York City, New York"
204,American Electric Power,Electric utility,"15,561",Decrease 3.9%,"17,408","Columbus, Ohio"
205,Nordstrom,Retail,"15,524",Decrease 2.1%,"75,000","Seattle, Washington"
206,Jacobs Engineering Group,Construction,"15,464",Increase 3.2%,"50,000","Dallas, Texas"
207,Waste Management,Waste service,"15,455",Increase 3.6%,"44,900","Houston, Texas"
208,C. H. Robinson,Logistics,"15,310",Decrease 7.9%,"15,427","Eden Prairie, Minnesota"
209,PPG Industries,Chemical industry,"15,146",Decrease 1.5%,"47,600","Pittsburgh, Pennsylvania"
210,Booking Holdings,Travel Technology,"15,066",Increase 3.7%,"26,400","Norwalk, Connecticut"
211,Omnicom Group,Advertising,"14,954",Decrease 2.2%,"70,000","New York City, New York"
212,Loews Corporation,Insurance,"14,931",Increase 6.5%,"18,605","New York City, New York"
213,Ecolab,Chemical industry,"14,906",Increase 1.6%,"50,200","St. Paul, Minnesota"
214,Stryker Corporation,Medical devices,"14,884",Increase 9.4%,"40,000","Kalamazoo, Michigan"
215,Estée Lauder Companies,Cosmetics,"14,863",Increase 8.6%,"48,000","New York City, New York"
216,Goodyear Tire and Rubber Company,Manufacturing,"14,745",Decrease 4.7%,"63,000","Akron, Ohio"
217,Truist Financial,Financials,"14,664",Increase 12.8%,"59,000","Charlotte, North Carolina"
218,Applied Materials,Semiconductor,"14,608",Decrease 15.3%,"22,000","Santa Clara, California"
219,BlackRock,Financials,"14,539",Increase 2.4%,"16,200","New York City, New York"
220,Stanley Black & Decker,Hardware,"14,442",Increase 3.3%,"59,438","New Britain, Connecticut"
221,Freeport-McMoRan,Metals and Mining,"14,402",Decrease 22.7%,"27,500","Phoenix, Arizona"
222,Texas Instruments,Semiconductor,"14,383",Decrease 8.9%,"29,768","Dallas, Texas"
223,Biogen,Biotechnology,"14,378",Increase 6.9%,"7,400","Cambridge, Massachusetts"
224,Parker Hannifin,Manufacturing,"14,320",Increase 0.1%,"55,610","Cleveland, Ohio"
225,Reinsurance Group of America,Insurance,"14,300",Increase 11.1%,"3,188","Chesterfield, Missouri"
226,Howmet Aerospace,Aerospace and defense,"14,192",Increase 1.3%,"41,700","Pittsburgh, Pennsylvania"
227,ADP,Business services,"14,175",Increase 6.4%,"58,000","Minneapolis, Minnesota"
228,Uber,Technology,"14,147",Increase 25.5%,"26,900","San Francisco, California"
229,Illinois Tool Works,Manufacturing,"14,109",Decrease 4.5%,"45,000","Glenview, Illinois"
230,DaVita Inc.,Healthcare,"14,102",Decrease 13.9%,"65,000","Denver, Colorado"
231,Discover Financial,Financial Service,"13,989",Increase 8.9%,"17,200","Chicago, Illinois"
232,Land O'Lakes,Agriculture,"13,888",Decrease 7.0%,"8,000","Arden Hills, Minnesota"
233,VF Corporation,Apparel,"13,871",Increase 7.8%,"75,000","Denver, Colorado"
234,Corteva,Food production,"13,846",Decrease 6.9%,"21,000","Wilmington, Delaware"
235,Las Vegas Sands,Hospitality,"13,739",Increase 0.1%,"50,000","Paradise, Nevada"
236,Textron,Aerospace and defense,"13,630",Decrease 2.4%,"35,000","Providence, Rhode Island"
237,Kellogg's,Food processing,"13,578",Increase 0.2%,"31,000","Battle Creek, Michigan"
238,Guardian Life Insurance Company of America,Insurance,"13,477",Increase 3.5%,"9,032","New York City, New York"
239,Qurate Retail Group,Media,"13,458",Decrease 4.3%,"25,314","Englewood, Colorado"
240,Core-Mark,Food distribution,"13,329",Increase 3.3%,"8,555","Westlake, Texas"
241,Community Health Systems,Healthcare,"13,210",Decrease 6.7%,"71,500","Franklin, Tennessee"
242,Kinder Morgan,Petroleum industry,"13,209",Decrease 6.6%,"11,086","Houston, Texas"
243,BJ's Wholesale Club,Retail,"13,191",Increase 1.4%,"27,231","Westborough, Massachusetts"
244,State Street Corporation,Financials,"13,131",Increase 1.2%,"39,103","Boston, Massachusetts"
245,Ameriprise Financial,Finance,"13,103",Increase 1.4%,"12,500","Minneapolis, Minnesota"
246,Global Partners,Energy supply,"13,082",Increase 3.2%,"3,860","Waltham, Massachusetts"
247,U.S. Steel,Steel,"12,937",Decrease 8.8%,"27,500","Pittsburgh, Pennsylvania"
248,L Brands,Retail,"12,914",Decrease 2.4%,"59,950","Columbus, Ohio"
249,MGM Resorts International,Hospitality,"12,900",Increase 9.7%,"72,000","Las Vegas, Nevada"
250,L3Harris Technologies,Aerospace and defense,"12,856",Increase 108.0%,"50,000","Melbourne, Florida"
251,Dish Network,Telecommunications,"12,808",Decrease 6.0%,"16,000","Englewood, Colorado"
252,Lithia Motors,Auto retailer,"12,673",Increase 7.2%,"14,320","Medford, Oregon"
253,DTE Energy,Energy utilities,"12,669",Decrease 10.9%,"10,700","Detroit, Michigan"
254,American Family Insurance,Insurance,"12,633",Increase 22.2%,"13,531","Madison, Wisconsin"
255,Farmers Insurance Group,Insurance,"12,593",Increase 8.1%,"10,980","San Diego, California"
256,Consolidated Edison,Energy utilities,"12,574",Increase 1.9%,"14,890","New York City, New York"
257,LKQ Corporation,Auto parts,"12,506",Increase 5.3%,"51,000","Chicago, Illinois"
258,Sempra Energy,Energy utilities,"12,443",Increase 6.5%,"13,969","San Diego, California"
259,Edison International,Energy utilities,"12,347",Decrease 2.4%,"12,937","Rosemead, California"
260,CenterPoint Energy,Energy utilities,"12,301",Increase 16.2%,"14,262","Houston, Texas"
261,Quanta Services,Engineering,"12,112",Increase 8.4%,"40,300","Houston, Texas"
262,Murphy USA,Petroleum industry,"12,101",Decrease 3.4%,"7,250","El Dorado, Arkansas"
263,Expedia Group,Technology,"12,067",Increase 7.5%,"25,400","Seattle, Washington"
264,Group 1 Automotive,Auto retailer,"12,044",Increase 3.8%,"15,296","Houston, Texas"
265,Bed Bath & Beyond,Retail,"12,029",Decrease 2.6%,"62,000","Springfield, New Jersey"
266,Unum,Insurance,"11,999",Increase 3.5%,"10,300","Chattanooga, Tennessee"
267,CSX Corporation,Rail transportation,"11,937",Decrease 2.6%,"20,908","Jacksonville, Florida"
268,AutoZone,Auto retailer,"11,864",Increase 5.7%,"75,840","Memphis, Tennessee"
269,Pacific Life,Insurance,"11,847",Increase 10.7%,"3,815","San Diego, California"
270,Vistra Energy,Energy,"11,809",Increase 29.1%,"5,475","Irving, Texas"
271,Charles Schwab Corporation,Financials,"11,785",Increase 7.2%,"19,700","Westlake, Texas"
272,Crown Holdings,Packaging,"11,665",Increase 4.6%,"33,043","Philadelphia, Pennsylvania"
273,Ally Financial,Financials,"11,618",Increase 11.0%,"8,700","Detroit, Michigan"
274,LabCorp,Healthcare,"11,555",Increase 2.0%,"65,000","Burlington, North Carolina"
275,Live Nation Entertainment,Entertainment,"11,548",Increase 7.0%,"18,200","Beverly Hills, California"
276,Xcel Energy,Energy utilities,"11,529",Decrease 0.1%,"11,295","Minneapolis, Minnesota"
277,Corning Inc.,Manufacturing,"11,503",Increase 1.9%,"49,500","Corning, New York"
278,W. W. Grainger,Industrial supply,"11,486",Increase 2.4%,"24,550","Chicago, Illinois"
279,Ball Corporation,Packaging,"11,474",Decrease 1.4%,"18,300","Broomfield, Colorado"
280,Fox Corporation,Media,"11,389",...,"7,700","New York City, New York"
281,Universal Health Services,Healthcare,"11,378",Increase 5.6%,"79,050","King of Prussia, Pennsylvania"
282,Baxter International,Medical devices,"11,362",Increase 2.4%,"50,000","Chicago, Illinois"
283,Norfolk Southern Corp,Transportation,"11,296",Decrease 1.4%,"24,587","Norfolk, Virginia"
284,Navistar International,Automotive,"11,251",Increase 9.8%,"12,300","Lisle, Illinois"
285,Adobe Inc.,Technology,"11,171",Increase 23.7%,"22,634","San Jose, California"
286,J.C. Penney,Retail,"11,167",Decrease 7.1%,"90,000","Plano, Texas"
287,"Discovery, Inc.",Media,"11,144",Increase 5.6%,"9,200","Silver Spring, Maryland"
288,Keurig Dr Pepper,Food processing,"11,120",Increase 49.4%,"25,500","Burlington, Massachusetts"
289,Leidos,Defense engineering,"11,094",Increase 8.8%,"34,000","Reston, Virginia"
290,IQVIA,Healthcare,"11,088",Increase 6.5%,"67,000","Durham, North Carolina"
291,Reliance Steel & Aluminum Co.,Steel,"10,974",Decrease 4.9%,"15,300","Los Angeles, California"
292,Nvidia,Semiconductors,"10,918",Decrease 6.8%,"13,775","Santa Clara, California"
293,Entergy Corp,Energy Utility,"10,879",Decrease 1.2%,"13,635","New Orleans, Louisiana"
294,FirstEnergy,Electric Utility,"10,850",Decrease 8.5%,"12,316","Akron, Ohio"
295,eBay,Retail,"10,800",Increase 0.5%,"13,300","San Jose, California"
296,Boston Scientific,Medical devices,"10,735",Increase 9.3%,"36,000","Marlborough, Massachusetts"
297,Office Depot,Office retail,"10,647",Decrease 4.3%,"40,000","Boca Raton, Florida"
298,Molson Coors Beverage Company,Beverages,"10,579",Decrease 1.8%,"17,700","Chicago, Illinois"
299,Steel Dynamics,Steel manufacturing,"10,465",Decrease 11.5%,"8,385","Fort Wayne, Indiana"
300,Mutual of Omaha,Financial Service,"10,456",Increase 11.9%,"6,072","Omaha, Nebraska"
301,Sonic Automotive,Auto retailer,"10,454",Increase 5.1%,"9,300","Charlotte, North Carolina"
